method,backend,input_bits,precision,top1,top1_std,top5,top5_std,latency_ms,latency_std,throughput
ptq,pytorch,1,fp16,69.55,0.478,89.48,0.125,3.065,1.244,326.333
ptq,pytorch,1,fp32,69.55,0.469,89.473,0.129,2.98,1.244,335.567
ptq,pytorch,2,fp16,76.887,0.423,93.14,0.053,3.075,1.244,325.233
ptq,pytorch,2,fp32,76.86,0.41,93.14,0.053,2.984,1.244,335.133
ptq,pytorch,4,fp16,78.33,0.367,93.64,0.1,3.087,1.244,323.967
ptq,pytorch,4,fp32,78.337,0.33,93.653,0.103,3.082,1.244,324.467
ptq,pytorch,8,fp16,77.977,0.101,93.58,0.236,3.048,1.244,328.1
ptq,pytorch,8,fp32,77.99,0.131,93.58,0.231,3.043,1.244,328.767
ptq,tensorrt,1,fp16,69.557,0.477,89.473,0.129,0.475,0.136,2105.5
ptq,tensorrt,1,fp32,69.557,0.472,89.473,0.129,0.941,0.136,1062.933
ptq,tensorrt,1,fp8,69.497,0.495,89.547,0.147,0.637,0.276,1569.467
ptq,tensorrt,1,int4,68.73,0.489,89.363,0.206,0.494,0.276,2024.533
ptq,tensorrt,1,int8,69.303,0.305,89.5,0.14,0.725,0.276,1380.133
ptq,tensorrt,2,fp16,76.867,0.411,93.14,0.06,0.484,0.136,2066.2
ptq,tensorrt,2,fp32,76.86,0.421,93.133,0.07,0.947,0.136,1056.533
ptq,tensorrt,2,fp8,76.687,0.349,93.26,0.16,0.634,0.276,1578.833
ptq,tensorrt,2,int4,76.45,0.695,93.08,0.26,0.485,0.276,2063.633
ptq,tensorrt,2,int8,76.74,0.447,93.233,0.115,0.686,0.276,1462.967
ptq,tensorrt,4,fp16,78.343,0.358,93.633,0.11,0.471,0.136,2120.9
ptq,tensorrt,4,fp32,78.343,0.358,93.647,0.101,0.947,0.136,1055.567
ptq,tensorrt,4,fp8,78.37,0.451,93.64,0.1,0.649,0.276,1543.1
ptq,tensorrt,4,int4,78.17,0.399,93.473,0.227,0.497,0.276,2010.467
ptq,tensorrt,4,int8,78.35,0.352,93.593,0.155,0.719,0.276,1393.667
ptq,tensorrt,8,fp16,77.99,0.111,93.587,0.227,0.487,0.136,2058.033
ptq,tensorrt,8,fp32,77.983,0.103,93.58,0.25,0.955,0.136,1047.133
ptq,tensorrt,8,fp8,77.943,0.202,93.567,0.175,0.64,0.276,1563.6
ptq,tensorrt,8,int4,77.783,0.219,93.467,0.17,0.489,0.276,2047.1
ptq,tensorrt,8,int8,77.863,0.287,93.527,0.344,0.673,0.276,1489.033
