method,backend,input_bits,precision,top1,top1_std,top5,top5_std,latency_ms,throughput
qat,pytorch,1,int4,69.223,0.377,89.073,0.168,10.252,97.6
qat,pytorch,2,int4,76.12,0.183,92.717,0.387,10.18,98.267
qat,pytorch,4,int4,77.627,0.235,93.3,0.191,10.334,97.267
qat,pytorch,8,int4,77.253,0.172,93.22,0.111,10.022,100.0
qat,pytorch,1,int8,69.35,0.471,89.46,0.072,8.778,114.267
qat,pytorch,2,int8,76.713,0.336,93.1,0.231,8.938,112.533
qat,pytorch,4,int8,78.417,0.314,93.473,0.14,8.732,114.733
qat,pytorch,8,int8,77.997,0.14,93.373,0.09,8.738,114.533
qat,tensorrt,1,qat_int8,69.357,0.555,89.427,0.11,0.689,1450.733
qat,tensorrt,2,qat_int8,76.78,0.399,93.087,0.136,0.638,1568.7
qat,tensorrt,4,qat_int8,78.243,0.129,93.547,0.061,0.67,1493.567
qat,tensorrt,8,qat_int8,78.037,0.181,93.427,0.103,0.677,1479.867
