method,backend,precision,input_bits,seed,run_id,top1,top5,latency_ms,throughput,total_samples,latency_std
qat,pytorch,int4,1,seed_1,torch_qat_int4_b1_cuda,69.18,89.11,10.097,99.0,4970,
qat,pytorch,int4,2,seed_1,torch_qat_int4_b2_cuda,76.28,92.54,10.236,97.7,4970,
qat,pytorch,int4,4,seed_1,torch_qat_int4_b4_cuda,77.89,93.28,11.201,89.3,4970,
qat,pytorch,int4,8,seed_1,torch_qat_int4_b8_cuda,77.22,93.32,10.195,98.1,4970,
qat,pytorch,int8,1,seed_1,torch_qat_int8_b1_cuda,69.56,89.54,9.335,107.1,4970,
qat,pytorch,int8,2,seed_1,torch_qat_int8_b2_cuda,76.64,92.86,9.12,109.7,4970,
qat,pytorch,int8,4,seed_1,torch_qat_int8_b4_cuda,78.31,93.62,8.969,111.5,4970,
qat,pytorch,int8,8,seed_1,torch_qat_int8_b8_cuda,77.85,93.46,9.063,110.3,4970,
qat,pytorch,int4,1,seed_2,torch_qat_int4_b1_cuda,69.62,88.89,10.641,94.0,4970,
qat,pytorch,int4,2,seed_2,torch_qat_int4_b2_cuda,76.16,93.16,10.311,97.0,4970,
qat,pytorch,int4,4,seed_2,torch_qat_int4_b4_cuda,77.55,93.5,10.408,96.1,4970,
qat,pytorch,int4,8,seed_2,torch_qat_int4_b8_cuda,77.44,93.24,10.472,95.5,4970,
qat,pytorch,int8,1,seed_2,torch_qat_int8_b1_cuda,69.68,89.44,8.864,112.8,4970,
qat,pytorch,int8,2,seed_2,torch_qat_int8_b2_cuda,77.08,93.32,9.642,103.7,4970,
qat,pytorch,int8,4,seed_2,torch_qat_int8_b4_cuda,78.17,93.34,9.022,110.8,4970,
qat,pytorch,int8,8,seed_2,torch_qat_int8_b8_cuda,78.13,93.28,8.646,115.7,4970,
qat,pytorch,int4,1,seed_42,torch_qat_int4_b1_cuda,68.87,89.22,10.017,99.8,4970,
qat,pytorch,int4,2,seed_42,torch_qat_int4_b2_cuda,75.92,92.45,9.993,100.1,4970,
qat,pytorch,int4,4,seed_42,torch_qat_int4_b4_cuda,77.44,93.12,9.394,106.4,4970,
qat,pytorch,int4,8,seed_42,torch_qat_int4_b8_cuda,77.1,93.1,9.398,106.4,4970,
qat,pytorch,int8,1,seed_42,torch_qat_int8_b1_cuda,68.81,89.4,8.134,122.9,4970,
qat,pytorch,int8,2,seed_42,torch_qat_int8_b2_cuda,76.42,93.12,8.052,124.2,4970,
qat,pytorch,int8,4,seed_42,torch_qat_int8_b4_cuda,78.77,93.46,8.206,121.9,4970,
qat,pytorch,int8,8,seed_42,torch_qat_int8_b8_cuda,78.01,93.38,8.505,117.6,4970,
qat,tensorrt,qat_int8,1,seed_1,trt_qat_int8_b1_cuda,69.48,89.54,0.693,1442.6,4970,
qat,tensorrt,qat_int8,2,seed_1,trt_qat_int8_b2_cuda,76.68,92.98,0.623,1604.8,4970,
qat,tensorrt,qat_int8,4,seed_1,trt_qat_int8_b4_cuda,78.19,93.6,0.698,1432.0,4970,
qat,tensorrt,qat_int8,8,seed_1,trt_qat_int8_b8_cuda,77.83,93.54,0.713,1402.8,4970,
qat,tensorrt,qat_int8,1,seed_2,trt_qat_int8_b1_cuda,69.84,89.32,0.705,1418.0,4970,
qat,tensorrt,qat_int8,2,seed_2,trt_qat_int8_b2_cuda,77.22,93.24,0.634,1576.1,4970,
qat,tensorrt,qat_int8,4,seed_2,trt_qat_int8_b4_cuda,78.15,93.48,0.666,1501.0,4970,
qat,tensorrt,qat_int8,8,seed_2,trt_qat_int8_b8_cuda,78.17,93.4,0.672,1488.6,4970,
qat,tensorrt,qat_int8,1,seed_42,trt_qat_int8_b1_cuda,68.75,89.42,0.67,1491.6,4970,
qat,tensorrt,qat_int8,2,seed_42,trt_qat_int8_b2_cuda,76.44,93.04,0.656,1525.2,4970,
qat,tensorrt,qat_int8,4,seed_42,trt_qat_int8_b4_cuda,78.39,93.56,0.646,1547.7,4970,
qat,tensorrt,qat_int8,8,seed_42,trt_qat_int8_b8_cuda,78.11,93.34,0.646,1548.2,4970,
