Backend,Precision,Input bits,Top-1 (%),Top-5 (%),Infer ms,Throughput (sps)
pytorch,fp16,1,0.8,4.6,3.05,328.34
pytorch,fp16,2,35.2,55.7,2.99,334.37
pytorch,fp16,4,83.5,94.9,3.02,331.3
pytorch,fp16,8,84.9,95.9,3.1,322.27
pytorch,fp32,1,0.8,4.6,2.95,338.78
pytorch,fp32,2,35.2,55.6,2.82,355.18
pytorch,fp32,4,83.6,94.9,2.83,353.42
pytorch,fp32,8,84.8,95.9,2.83,353.09
tensorrt,fp16,1,0.8,4.7,0.49,2039.98
tensorrt,fp16,2,35.3,55.8,0.46,2161.04
tensorrt,fp16,4,83.6,95.0,0.48,2099.32
tensorrt,fp16,8,84.7,95.9,0.47,2107.01
tensorrt,fp32,1,0.8,4.5,0.95,1053.08
tensorrt,fp32,2,35.2,55.7,0.93,1076.84
tensorrt,fp32,4,83.6,94.9,0.95,1057.03
tensorrt,fp32,8,84.8,95.9,0.93,1070.85
tensorrt,fp8,1,0.8,4.7,0.49,2037.75
tensorrt,fp8,2,35.1,55.7,0.48,2087.15
tensorrt,fp8,4,83.6,95.0,0.48,2082.42
tensorrt,fp8,8,84.7,95.9,0.51,1975.52
tensorrt,int4,1,0.8,4.8,0.49,2029.76
tensorrt,int4,2,35.3,55.7,0.49,2054.9
tensorrt,int4,4,83.6,95.0,0.48,2102.4
tensorrt,int4,8,84.7,95.9,0.48,2067.89
tensorrt,int8,1,1.2,4.9,0.76,1315.01
tensorrt,int8,2,34.5,55.1,0.81,1234.87
tensorrt,int8,4,83.3,95.0,0.65,1539.87
tensorrt,int8,8,85.0,96.0,0.75,1326.04
torchao_cpu_ptq,int8,1,0.8,4.6,10.83,92.31
torchao_cpu_ptq,int8,2,35.2,55.7,10.78,92.78
torchao_cpu_ptq,int8,4,83.6,95.0,13.09,76.39
torchao_cpu_ptq,int8,8,84.8,95.9,10.43,95.84
